,0,1,2
0,perception complexity,prediction error,0.00021893277315532603
1,perception complexity,planning error,0.010396707878275957
2,prediction error,ignore decision,6.659360335493911e-07
3,prediction error,follow decision,5.146939499034919e-05
4,prediction error,overtake decision,2.6148290052881217e-07
5,prediction error,execution error,5.843085379458879e-05
6,prediction error,accident,1.018789562838053e-07
7,planning error,ignore decision,1.5036207922177234e-07
8,planning error,execution error,1.2391985938000347e-07
9,ignore priority,ignore decision,3.745880420959504e-07
10,ignore priority,follow decision,4.424138060246229e-05
11,ignore priority,execution error,6.231494660499128e-06
12,follow decision,non-caution predictor,1.9678798514441605e-07
13,follow decision,yield decision,1.1313929699463527e-07
14,follow decision,execution error,4.922913018816724e-07
15,follow decision,accident,2.208479510859489e-07
