,Cause,Effect,Score
0,perception complexity,prediction error,0.4828687528075158
1,perception complexity,ignore decision,0.9690203340006147
2,perception complexity,follow decision,0.34998351157905316
3,perception complexity,yield decision,0.2759513578035333
4,perception complexity,planning error,0.06194672541933169
5,perception complexity,accident,0.9634457406638733
6,follow decision,ignore decision,0.9125819208141801
7,follow decision,overtake decision,0.8279352042050923
8,follow decision,execution error,0.19730470979774323
9,follow decision,accident,0.9021875287927466
10,yield decision,prediction error,0.021673739339315608
11,yield decision,follow decision,0.017302439867980513
12,planning error,prediction error,0.5524783940686635
13,planning error,follow decision,0.6456699780553256
14,planning error,yield decision,0.6350766510687141
15,planning error,non-caution predictor,0.9814636389735273
16,planning error,overtake decision,0.9769930738618429
17,planning error,execution error,0.6855869180343909
18,accident,non-caution predictor,0.08240708897578998
19,ignore priority,prediction error,0.27524236080438486
20,ignore priority,follow decision,0.12993488036825832
21,ignore priority,accident,0.8991589940265461
22,ignore priority,execution error,0.2724065451551484
23,non-caution predictor,ignore decision,0.004189044140229589
24,overtake decision,accident,0.1970726916096164
25,execution error,overtake decision,0.8296770157056038
