,Cause,Effect,Score
0,perception complexity,ignore priority,0.25677755888154824
1,perception complexity,prediction error,0.5619564936807571
2,perception complexity,ignore decision,0.9667899879937606
3,perception complexity,follow decision,0.5394708993134198
4,perception complexity,yield decision,0.22755305497830802
5,perception complexity,overtake decision,0.9565399676887806
6,perception complexity,planning error,0.09722713855545681
7,perception complexity,execution error,0.6201084049051441
8,perception complexity,accident,0.9771943385492157
9,ignore priority,prediction error,0.289239550363982
10,ignore priority,execution error,0.2660784211799516
11,prediction error,execution error,0.14014506632546142
12,follow decision,non-caution predictor,0.8560088409086211
13,yield decision,ignore decision,0.9264221040543219
14,yield decision,non-caution predictor,0.9309480135190563
15,yield decision,execution error,0.14143983077003705
16,overtake decision,ignore decision,0.010763667459399604
17,overtake decision,non-caution predictor,0.18249658180796632
18,planning error,ignore decision,0.9868211857101891
19,planning error,follow decision,0.7214505356300003
20,planning error,yield decision,0.5875221878202713
21,planning error,non-caution predictor,0.9850432069551404
22,planning error,execution error,0.7859397678914839
23,execution error,ignore decision,0.9058845679669566
24,execution error,non-caution predictor,0.9470114192283327
25,non-caution predictor,accident,0.02378803124531184
