,Cause,Effect,Score
0,perception complexity,ignore decision,0.971444286069365
1,perception complexity,follow decision,0.4880567971334491
2,follow decision,overtake decision,0.8131473862700604
3,follow decision,accident,0.9047414416996886
4,yield decision,ignore decision,0.3544596036391371
5,accident,ignore decision,0.17168021713793627
6,prediction error,follow decision,0.04982614453778039
7,prediction error,non-caution predictor,0.9321881823348204
8,prediction error,execution error,0.19894644475631712
9,planning error,follow decision,0.7329164256278307
10,planning error,non-caution predictor,0.982204239448123
11,planning error,prediction error,0.5245207927068941
12,planning error,accident,0.9843984653960139
13,ignore priority,non-caution predictor,0.9330122720101693
14,ignore priority,prediction error,0.21244296418606864
15,ignore priority,overtake decision,0.9011422902054614
16,ignore priority,execution error,0.21926781706251136
17,ignore priority,accident,0.9299873370987585
18,execution error,non-caution predictor,0.8809631943346363
19,execution error,yield decision,0.927277462062489
