,Cause,Effect,Score
0,perception complexity,ignore priority,42.895599365234375
1,perception complexity,non-caution predictor,16.099315643310547
2,perception complexity,prediction error,71.62422943115234
3,perception complexity,ignore decision,22.32666015625
4,perception complexity,follow decision,34.73018264770508
5,perception complexity,yield decision,32.879302978515625
6,perception complexity,overtake decision,27.6019229888916
7,perception complexity,planning error,50.28351593017578
8,perception complexity,execution error,43.76542663574219
9,perception complexity,accident,26.702478408813477
10,ignore priority,perception complexity,58.986724853515625
11,ignore priority,non-caution predictor,38.204410552978516
12,ignore priority,prediction error,48.71668243408203
13,ignore priority,ignore decision,64.90850067138672
14,ignore priority,follow decision,38.35521697998047
15,ignore priority,yield decision,35.57952880859375
16,ignore priority,overtake decision,38.745113372802734
17,ignore priority,planning error,39.859886169433594
18,ignore priority,execution error,43.42748260498047
19,ignore priority,accident,43.01726531982422
20,non-caution predictor,perception complexity,0.20249605178833008
21,non-caution predictor,ignore priority,0.18233153223991394
22,non-caution predictor,prediction error,0.17853917181491852
23,non-caution predictor,ignore decision,0.27012649178504944
24,non-caution predictor,follow decision,0.18883571028709412
25,non-caution predictor,yield decision,0.18733829259872437
26,non-caution predictor,overtake decision,0.20463788509368896
27,non-caution predictor,planning error,0.20585505664348602
28,non-caution predictor,execution error,0.19661810994148254
29,non-caution predictor,accident,0.2092539221048355
30,prediction error,perception complexity,87.47789764404297
31,prediction error,ignore priority,28.995176315307617
32,prediction error,non-caution predictor,18.21478843688965
33,prediction error,ignore decision,17.551454544067383
34,prediction error,follow decision,38.0418701171875
35,prediction error,yield decision,46.152809143066406
36,prediction error,overtake decision,33.22662353515625
37,prediction error,planning error,43.24049758911133
38,prediction error,execution error,39.03857421875
39,prediction error,accident,28.827953338623047
40,ignore decision,perception complexity,0.19673824310302734
41,ignore decision,ignore priority,0.19619907438755035
42,ignore decision,non-caution predictor,0.2711982727050781
43,ignore decision,prediction error,0.1976664513349533
44,ignore decision,follow decision,0.18728376924991608
45,ignore decision,yield decision,0.18492259085178375
46,ignore decision,overtake decision,0.18448176980018616
47,ignore decision,planning error,0.19791720807552338
48,ignore decision,execution error,0.19868159294128418
49,ignore decision,accident,0.19906920194625854
50,follow decision,perception complexity,40.299522399902344
51,follow decision,ignore priority,34.544837951660156
52,follow decision,non-caution predictor,54.239219665527344
53,follow decision,prediction error,35.20393371582031
54,follow decision,ignore decision,29.774173736572266
55,follow decision,yield decision,45.717227935791016
56,follow decision,overtake decision,37.62498092651367
57,follow decision,planning error,42.68463134765625
58,follow decision,execution error,37.81211853027344
59,follow decision,accident,31.399953842163086
60,yield decision,perception complexity,35.867679595947266
61,yield decision,ignore priority,34.633995056152344
62,yield decision,non-caution predictor,37.685264587402344
63,yield decision,prediction error,40.468780517578125
64,yield decision,ignore decision,38.7639045715332
65,yield decision,follow decision,53.61073303222656
66,yield decision,overtake decision,33.732601165771484
67,yield decision,planning error,42.40537643432617
68,yield decision,execution error,39.140106201171875
69,yield decision,accident,43.46326446533203
70,overtake decision,perception complexity,34.916831970214844
71,overtake decision,ignore priority,33.685020446777344
72,overtake decision,non-caution predictor,17.828426361083984
73,overtake decision,prediction error,26.243932723999023
74,overtake decision,ignore decision,3.3557615280151367
75,overtake decision,follow decision,40.14821243286133
76,overtake decision,yield decision,38.17592239379883
77,overtake decision,planning error,44.78407669067383
78,overtake decision,execution error,39.279869079589844
79,overtake decision,accident,34.204017639160156
80,planning error,perception complexity,33.39830017089844
81,planning error,ignore priority,33.9630126953125
82,planning error,non-caution predictor,45.443180084228516
83,planning error,prediction error,32.8653450012207
84,planning error,ignore decision,49.81514358520508
85,planning error,follow decision,33.44477844238281
86,planning error,yield decision,35.082454681396484
87,planning error,overtake decision,27.465557098388672
88,planning error,execution error,45.740318298339844
89,planning error,accident,20.330764770507812
90,execution error,perception complexity,53.47435760498047
91,execution error,ignore priority,34.07162857055664
92,execution error,non-caution predictor,20.112348556518555
93,execution error,prediction error,35.657470703125
94,execution error,ignore decision,8.09826374053955
95,execution error,follow decision,37.04106903076172
96,execution error,yield decision,43.03998565673828
97,execution error,overtake decision,34.67816925048828
98,execution error,planning error,55.099212646484375
99,execution error,accident,31.143217086791992
100,accident,perception complexity,32.58639907836914
101,accident,ignore priority,32.3729133605957
102,accident,non-caution predictor,6.70076847076416
103,accident,prediction error,29.240459442138672
104,accident,ignore decision,5.193204402923584
105,accident,follow decision,47.431644439697266
106,accident,yield decision,35.80200958251953
107,accident,overtake decision,38.341190338134766
108,accident,planning error,47.857505798339844
109,accident,execution error,23.48048973083496
