,Cause,Effect,Score
0,perception complexity,ignore priority,49.033851623535156
1,perception complexity,non-caution predictor,44.562217712402344
2,perception complexity,prediction error,86.70072937011719
3,perception complexity,ignore decision,59.393985748291016
4,perception complexity,follow decision,32.32714080810547
5,perception complexity,yield decision,54.91276550292969
6,perception complexity,overtake decision,26.1683349609375
7,perception complexity,planning error,62.20985412597656
8,perception complexity,execution error,52.23383331298828
9,perception complexity,accident,25.315011978149414
10,ignore priority,perception complexity,58.41018295288086
11,ignore priority,non-caution predictor,59.82158660888672
12,ignore priority,prediction error,76.27989196777344
13,ignore priority,ignore decision,49.18389892578125
14,ignore priority,follow decision,27.14035987854004
15,ignore priority,yield decision,54.227821350097656
16,ignore priority,overtake decision,43.446266174316406
17,ignore priority,planning error,30.335041046142578
18,ignore priority,execution error,32.40427780151367
19,ignore priority,accident,57.869483947753906
20,non-caution predictor,perception complexity,0.17534683644771576
21,non-caution predictor,ignore priority,0.1659986674785614
22,non-caution predictor,prediction error,0.175267294049263
23,non-caution predictor,ignore decision,0.2607332468032837
24,non-caution predictor,follow decision,0.16786547005176544
25,non-caution predictor,yield decision,0.2416805773973465
26,non-caution predictor,overtake decision,0.18700379133224487
27,non-caution predictor,planning error,0.17367000877857208
28,non-caution predictor,execution error,0.18536464869976044
29,non-caution predictor,accident,0.19131146371364594
30,prediction error,perception complexity,93.50971984863281
31,prediction error,ignore priority,19.894508361816406
32,prediction error,non-caution predictor,23.951007843017578
33,prediction error,ignore decision,21.408607482910156
34,prediction error,follow decision,27.10124397277832
35,prediction error,yield decision,31.063766479492188
36,prediction error,overtake decision,26.130922317504883
37,prediction error,planning error,37.889652252197266
38,prediction error,execution error,40.2476692199707
39,prediction error,accident,26.317201614379883
40,ignore decision,perception complexity,0.17978441715240479
41,ignore decision,ignore priority,0.18120135366916656
42,ignore decision,non-caution predictor,0.23747408390045166
43,ignore decision,prediction error,0.17146508395671844
44,ignore decision,follow decision,0.17269597947597504
45,ignore decision,yield decision,0.24607916176319122
46,ignore decision,overtake decision,0.1753973513841629
47,ignore decision,planning error,0.18059596419334412
48,ignore decision,execution error,0.17417283356189728
49,ignore decision,accident,0.1827278733253479
50,follow decision,perception complexity,37.014869689941406
51,follow decision,ignore priority,27.909440994262695
52,follow decision,non-caution predictor,45.965789794921875
53,follow decision,prediction error,34.1169548034668
54,follow decision,ignore decision,52.89375686645508
55,follow decision,yield decision,73.33232879638672
56,follow decision,overtake decision,41.032745361328125
57,follow decision,planning error,36.90522766113281
58,follow decision,execution error,36.63182067871094
59,follow decision,accident,49.319053649902344
60,yield decision,perception complexity,0.17531533539295197
61,yield decision,ignore priority,0.17672309279441833
62,yield decision,non-caution predictor,0.2524474561214447
63,yield decision,prediction error,0.17168384790420532
64,yield decision,ignore decision,0.25628048181533813
65,yield decision,follow decision,0.17472001910209656
66,yield decision,overtake decision,0.19145841896533966
67,yield decision,planning error,0.18139536678791046
68,yield decision,execution error,0.1661260426044464
69,yield decision,accident,0.1820516288280487
70,overtake decision,perception complexity,28.030784606933594
71,overtake decision,ignore priority,33.20003890991211
72,overtake decision,non-caution predictor,7.868744850158691
73,overtake decision,prediction error,31.818130493164062
74,overtake decision,ignore decision,8.237471580505371
75,overtake decision,follow decision,42.38960647583008
76,overtake decision,yield decision,3.9360098838806152
77,overtake decision,planning error,37.81584930419922
78,overtake decision,execution error,45.412879943847656
79,overtake decision,accident,29.792556762695312
80,planning error,perception complexity,24.913494110107422
81,planning error,ignore priority,43.05282211303711
82,planning error,non-caution predictor,47.812103271484375
83,planning error,prediction error,28.06093978881836
84,planning error,ignore decision,46.93040084838867
85,planning error,follow decision,26.107881546020508
86,planning error,yield decision,51.08403015136719
87,planning error,overtake decision,27.58979606628418
88,planning error,execution error,58.89659881591797
89,planning error,accident,30.508434295654297
90,execution error,perception complexity,53.35745620727539
91,execution error,ignore priority,28.949966430664062
92,execution error,non-caution predictor,22.731441497802734
93,execution error,prediction error,24.802513122558594
94,execution error,ignore decision,28.342924118041992
95,execution error,follow decision,34.15464782714844
96,execution error,yield decision,24.133224487304688
97,execution error,overtake decision,29.648643493652344
98,execution error,planning error,42.61051940917969
99,execution error,accident,32.277828216552734
100,accident,perception complexity,32.4432373046875
101,accident,ignore priority,25.88731575012207
102,accident,non-caution predictor,14.30449104309082
103,accident,prediction error,29.494121551513672
104,accident,ignore decision,12.256081581115723
105,accident,follow decision,33.42613220214844
106,accident,yield decision,18.841121673583984
107,accident,overtake decision,31.755809783935547
108,accident,planning error,33.46689987182617
109,accident,execution error,26.45179557800293
