,Cause,Effect,Score
0,perception complexity,ignore priority,33.698184967041016
1,perception complexity,non-caution predictor,30.5761775970459
2,perception complexity,prediction error,71.28579711914062
3,perception complexity,ignore decision,27.410676956176758
4,perception complexity,follow decision,35.92733383178711
5,perception complexity,yield decision,33.450279235839844
6,perception complexity,overtake decision,23.587173461914062
7,perception complexity,planning error,46.49617385864258
8,perception complexity,execution error,49.161712646484375
9,perception complexity,accident,30.137836456298828
10,ignore priority,perception complexity,51.055301666259766
11,ignore priority,non-caution predictor,42.169132232666016
12,ignore priority,prediction error,50.516937255859375
13,ignore priority,ignore decision,56.526283264160156
14,ignore priority,follow decision,36.53461837768555
15,ignore priority,yield decision,35.37818145751953
16,ignore priority,overtake decision,34.7130126953125
17,ignore priority,planning error,47.236572265625
18,ignore priority,execution error,44.37406921386719
19,ignore priority,accident,36.33668899536133
20,non-caution predictor,perception complexity,0.22674624621868134
21,non-caution predictor,ignore priority,0.20253954827785492
22,non-caution predictor,prediction error,0.2060009390115738
23,non-caution predictor,ignore decision,0.25108182430267334
24,non-caution predictor,follow decision,0.18647463619709015
25,non-caution predictor,yield decision,0.2072422206401825
26,non-caution predictor,overtake decision,0.19597993791103363
27,non-caution predictor,planning error,0.2108115255832672
28,non-caution predictor,execution error,0.21346193552017212
29,non-caution predictor,accident,0.19170013070106506
30,prediction error,perception complexity,85.89851379394531
31,prediction error,ignore priority,34.891258239746094
32,prediction error,non-caution predictor,31.213825225830078
33,prediction error,ignore decision,19.638864517211914
34,prediction error,follow decision,31.960580825805664
35,prediction error,yield decision,41.72479248046875
36,prediction error,overtake decision,29.457651138305664
37,prediction error,planning error,44.091609954833984
38,prediction error,execution error,37.59413528442383
39,prediction error,accident,33.669227600097656
40,ignore decision,perception complexity,0.20850184559822083
41,ignore decision,ignore priority,0.20599934458732605
42,ignore decision,non-caution predictor,0.2599869966506958
43,ignore decision,prediction error,0.20129220187664032
44,ignore decision,follow decision,0.2214955985546112
45,ignore decision,yield decision,0.21194949746131897
46,ignore decision,overtake decision,0.20856741070747375
47,ignore decision,planning error,0.21092310547828674
48,ignore decision,execution error,0.19712665677070618
49,ignore decision,accident,0.223305344581604
50,follow decision,perception complexity,43.58740997314453
51,follow decision,ignore priority,36.054500579833984
52,follow decision,non-caution predictor,50.40388488769531
53,follow decision,prediction error,34.232662200927734
54,follow decision,ignore decision,34.51106262207031
55,follow decision,yield decision,47.14394760131836
56,follow decision,overtake decision,41.596031188964844
57,follow decision,planning error,40.959293365478516
58,follow decision,execution error,39.41068649291992
59,follow decision,accident,33.58296203613281
60,yield decision,perception complexity,38.30828857421875
61,yield decision,ignore priority,36.96453857421875
62,yield decision,non-caution predictor,62.55692672729492
63,yield decision,prediction error,41.41227722167969
64,yield decision,ignore decision,30.86571502685547
65,yield decision,follow decision,61.35723876953125
66,yield decision,overtake decision,41.86920928955078
67,yield decision,planning error,44.32661437988281
68,yield decision,execution error,40.17685317993164
69,yield decision,accident,40.36628341674805
70,overtake decision,perception complexity,40.195674896240234
71,overtake decision,ignore priority,33.981746673583984
72,overtake decision,non-caution predictor,16.828922271728516
73,overtake decision,prediction error,38.286537170410156
74,overtake decision,ignore decision,6.85883903503418
75,overtake decision,follow decision,38.840843200683594
76,overtake decision,yield decision,38.45550537109375
77,overtake decision,planning error,47.66256332397461
78,overtake decision,execution error,42.703277587890625
79,overtake decision,accident,45.20209503173828
80,planning error,perception complexity,34.91048049926758
81,planning error,ignore priority,33.44951629638672
82,planning error,non-caution predictor,27.931562423706055
83,planning error,prediction error,36.36518096923828
84,planning error,ignore decision,43.70590591430664
85,planning error,follow decision,33.05122375488281
86,planning error,yield decision,31.7467098236084
87,planning error,overtake decision,27.427471160888672
88,planning error,execution error,48.39501190185547
89,planning error,accident,27.20214080810547
90,execution error,perception complexity,56.05979919433594
91,execution error,ignore priority,34.24654006958008
92,execution error,non-caution predictor,24.7799129486084
93,execution error,prediction error,34.531471252441406
94,execution error,ignore decision,11.948305130004883
95,execution error,follow decision,33.26471710205078
96,execution error,yield decision,38.52378845214844
97,execution error,overtake decision,22.549318313598633
98,execution error,planning error,39.18212127685547
99,execution error,accident,30.92982292175293
100,accident,perception complexity,34.88170623779297
101,accident,ignore priority,32.72018051147461
102,accident,non-caution predictor,18.246686935424805
103,accident,prediction error,31.519834518432617
104,accident,ignore decision,22.586875915527344
105,accident,follow decision,42.713829040527344
106,accident,yield decision,34.23971939086914
107,accident,overtake decision,33.439815521240234
108,accident,planning error,44.2951545715332
109,accident,execution error,26.934242248535156
