,Cause,Effect,Score
0,perception complexity,ignore priority,38.091121673583984
1,perception complexity,non-caution predictor,39.220516204833984
2,perception complexity,prediction error,61.9234733581543
3,perception complexity,ignore decision,52.24454116821289
4,perception complexity,follow decision,34.767913818359375
5,perception complexity,yield decision,32.02962112426758
6,perception complexity,overtake decision,26.837522506713867
7,perception complexity,planning error,33.068016052246094
8,perception complexity,execution error,39.14768981933594
9,perception complexity,accident,33.099266052246094
10,ignore priority,perception complexity,50.68681335449219
11,ignore priority,non-caution predictor,24.53448486328125
12,ignore priority,prediction error,58.178043365478516
13,ignore priority,ignore decision,41.03657150268555
14,ignore priority,follow decision,34.82303237915039
15,ignore priority,yield decision,32.11083984375
16,ignore priority,overtake decision,31.731430053710938
17,ignore priority,planning error,42.65556716918945
18,ignore priority,execution error,45.64472198486328
19,ignore priority,accident,40.07087326049805
20,non-caution predictor,perception complexity,0.19791869819164276
21,non-caution predictor,ignore priority,0.1985207498073578
22,non-caution predictor,prediction error,0.1893976777791977
23,non-caution predictor,ignore decision,0.24870485067367554
24,non-caution predictor,follow decision,0.19843116402626038
25,non-caution predictor,yield decision,0.19181977212429047
26,non-caution predictor,overtake decision,0.1928490847349167
27,non-caution predictor,planning error,0.20417356491088867
28,non-caution predictor,execution error,0.19188658893108368
29,non-caution predictor,accident,0.19986657798290253
30,prediction error,perception complexity,89.86256408691406
31,prediction error,ignore priority,28.859909057617188
32,prediction error,non-caution predictor,27.0941162109375
33,prediction error,ignore decision,28.7867488861084
34,prediction error,follow decision,31.71552085876465
35,prediction error,yield decision,35.80990982055664
36,prediction error,overtake decision,27.983678817749023
37,prediction error,planning error,41.053672790527344
38,prediction error,execution error,33.86479187011719
39,prediction error,accident,29.930749893188477
40,ignore decision,perception complexity,0.2002294957637787
41,ignore decision,ignore priority,0.22006337344646454
42,ignore decision,non-caution predictor,0.25069460272789
43,ignore decision,prediction error,0.19775916635990143
44,ignore decision,follow decision,0.20464445650577545
45,ignore decision,yield decision,0.20097827911376953
46,ignore decision,overtake decision,0.19314873218536377
47,ignore decision,planning error,0.20249280333518982
48,ignore decision,execution error,0.20421580970287323
49,ignore decision,accident,0.2077873945236206
50,follow decision,perception complexity,47.76032638549805
51,follow decision,ignore priority,38.05698776245117
52,follow decision,non-caution predictor,22.365217208862305
53,follow decision,prediction error,41.03524398803711
54,follow decision,ignore decision,34.6932258605957
55,follow decision,yield decision,53.916996002197266
56,follow decision,overtake decision,40.36692810058594
57,follow decision,planning error,43.33039474487305
58,follow decision,execution error,42.187278747558594
59,follow decision,accident,42.13087463378906
60,yield decision,perception complexity,44.17961120605469
61,yield decision,ignore priority,36.284427642822266
62,yield decision,non-caution predictor,43.40170669555664
63,yield decision,prediction error,45.99977493286133
64,yield decision,ignore decision,41.685420989990234
65,yield decision,follow decision,49.439029693603516
66,yield decision,overtake decision,45.81972885131836
67,yield decision,planning error,40.82059860229492
68,yield decision,execution error,35.30531311035156
69,yield decision,accident,62.94711685180664
70,overtake decision,perception complexity,36.08454895019531
71,overtake decision,ignore priority,35.382530212402344
72,overtake decision,non-caution predictor,18.785114288330078
73,overtake decision,prediction error,37.246978759765625
74,overtake decision,ignore decision,13.58243179321289
75,overtake decision,follow decision,35.6809196472168
76,overtake decision,yield decision,31.515113830566406
77,overtake decision,planning error,41.94770050048828
78,overtake decision,execution error,37.008766174316406
79,overtake decision,accident,41.89160919189453
80,planning error,perception complexity,40.9056282043457
81,planning error,ignore priority,37.71065902709961
82,planning error,non-caution predictor,51.11600875854492
83,planning error,prediction error,34.601776123046875
84,planning error,ignore decision,30.085176467895508
85,planning error,follow decision,31.51630401611328
86,planning error,yield decision,33.85958480834961
87,planning error,overtake decision,29.959768295288086
88,planning error,execution error,58.182777404785156
89,planning error,accident,27.367511749267578
90,execution error,perception complexity,52.645957946777344
91,execution error,ignore priority,30.52119255065918
92,execution error,non-caution predictor,19.243366241455078
93,execution error,prediction error,38.096866607666016
94,execution error,ignore decision,14.991655349731445
95,execution error,follow decision,33.098567962646484
96,execution error,yield decision,54.56521987915039
97,execution error,overtake decision,31.384830474853516
98,execution error,planning error,60.102989196777344
99,execution error,accident,38.05195617675781
100,accident,perception complexity,33.819217681884766
101,accident,ignore priority,31.655418395996094
102,accident,non-caution predictor,3.381329298019409
103,accident,prediction error,32.114402770996094
104,accident,ignore decision,2.8874824047088623
105,accident,follow decision,32.60782241821289
106,accident,yield decision,29.147666931152344
107,accident,overtake decision,35.595481872558594
108,accident,planning error,41.99492645263672
109,accident,execution error,33.18080520629883
