 ,Area,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,27.315,0,255,255,20.702,0.801,1.361,0.735,0.908
2,16.590,0,255,255,15.242,0.897,1.091,0.917,0.927
3,22.840,0,255,255,18.777,0.814,1.299,0.770,0.893
4,30.478,0,255,255,23.261,0.708,1.499,0.667,0.878
5,23.457,0,255,255,20.416,0.707,1.657,0.603,0.871
6,23.457,0,255,255,20.051,0.733,1.456,0.687,0.877
7,19.676,0,255,255,19.293,0.664,1.782,0.561,0.922
8,21.991,0,255,255,18.845,0.778,1.238,0.808,0.891
9,56.559,0,255,255,29.860,0.797,1.451,0.689,0.938
10,31.327,0,255,255,21.460,0.855,1.098,0.911,0.924
11,28.241,0,255,255,21.392,0.775,1.485,0.673,0.925
12,40.278,0,255,255,25.444,0.782,1.713,0.584,0.933
13,20.602,0,255,255,19.754,0.663,1.503,0.665,0.874
14,26.929,0,255,255,23.805,0.597,2.067,0.484,0.823
15,20.139,0,255,255,18.289,0.757,1.595,0.627,0.874
16,18.596,0,255,255,18.642,0.672,1.717,0.582,0.889
17,50.154,0,255,255,27.543,0.831,1.099,0.910,0.929
18,42.515,0,255,255,26.729,0.748,1.507,0.664,0.895
19,63.272,0,255,255,30.579,0.850,1.170,0.855,0.947
20,72.145,0,255,255,33.991,0.785,1.446,0.691,0.921
21,22.917,0,255,255,18.087,0.880,1.296,0.772,0.950
22,15.818,0,255,255,15.309,0.848,1.154,0.867,0.891
23,34.028,0,255,255,23.098,0.801,1.169,0.855,0.901
24,28.472,0,255,255,20.444,0.856,1.096,0.912,0.919
25,31.636,0,255,255,21.920,0.827,1.096,0.913,0.909
26,27.006,0,255,255,20.186,0.833,1.047,0.955,0.906
27,106.096,0,255,255,49.451,0.545,1.178,0.849,0.822
28,22.068,0,255,255,18.087,0.848,1.086,0.921,0.926
29,32.562,0,255,255,22.571,0.803,1.200,0.834,0.909
30,24.846,0,255,255,19.035,0.862,1.304,0.767,0.936
31,30.015,0,255,255,21.516,0.815,1.365,0.732,0.944
32,30.478,0,255,255,22.301,0.770,1.322,0.756,0.931
33,38.889,0,255,255,24.495,0.814,1.378,0.726,0.937
34,64.506,0,255,255,34.495,0.681,2.030,0.493,0.928
35,99.614,0,255,255,44.019,0.646,1.277,0.783,0.834
36,30.170,0,255,255,21.460,0.823,1.061,0.943,0.902
37,36.651,0,255,255,23.126,0.861,1.079,0.927,0.929
38,23.688,0,255,255,19.007,0.824,1.264,0.791,0.906
39,47.840,0,255,255,27.773,0.779,1.425,0.702,0.910
40,32.716,0,255,255,23.642,0.736,1.326,0.754,0.881
41,33.025,0,255,255,23.071,0.780,1.233,0.811,0.915
42,43.441,0,255,255,26.241,0.793,1.181,0.846,0.909
43,28.858,0,255,255,20.376,0.873,1.122,0.891,0.926
44,36.651,0,255,255,23.356,0.844,1.295,0.772,0.931
45,80.093,0,255,255,47.173,0.452,2.416,0.414,0.849
46,35.262,0,255,255,26.757,0.619,1.405,0.712,0.817
47,16.512,0,255,255,15.607,0.852,1.363,0.734,0.932
48,42.284,0,255,255,25.781,0.799,1.249,0.801,0.908
49,30.787,0,255,255,21.230,0.858,1.073,0.932,0.917
50,10.108,0,255,255,17.301,0.424,3.781,0.264,0.762
51,17.670,0,255,255,15.999,0.867,1.102,0.908,0.907
52,30.633,0,255,255,21.880,0.804,1.224,0.817,0.934
53,121.914,0,255,255,65.439,0.358,1.233,0.811,0.852
54,21.914,0,255,255,18.126,0.838,1.149,0.870,0.906
55,69.367,0,255,255,33.031,0.799,1.594,0.627,0.940
56,43.750,0,255,255,25.551,0.842,1.376,0.727,0.921
57,83.102,0,255,255,49.193,0.432,2.056,0.486,0.833
58,32.176,0,255,255,22.150,0.824,1.268,0.789,0.917
59,41.590,0,255,255,25.809,0.785,1.438,0.696,0.923
60,19.830,0,255,255,17.341,0.829,1.175,0.851,0.895
61,45.062,0,255,255,25.876,0.846,1.046,0.956,0.920
62,23.071,0,255,255,19.591,0.755,1.288,0.777,0.895
63,38.657,0,255,255,23.912,0.850,1.305,0.766,0.929
64,13.503,0,255,255,14.658,0.790,1.221,0.819,0.854
65,29.321,0,255,255,20.837,0.849,1.145,0.874,0.921
66,32.639,0,255,255,22.829,0.787,1.445,0.692,0.903
67,23.920,0,255,255,19.237,0.812,1.080,0.926,0.892
68,48.765,0,255,255,27.178,0.830,1.198,0.835,0.927
69,49.151,0,255,255,28.329,0.770,1.539,0.650,0.922
70,19.136,0,255,255,18.614,0.694,1.431,0.699,0.838
71,12.037,0,255,255,13.115,0.879,1.199,0.834,0.915
